"va","n","true_h2","h2_est","h2_err","method"
1.5,3,0.3,0.439274198802771,0.139274198802771,"BayesA"
1.5,4,0.3,0.403321263102931,0.103321263102931,"BayesA"
1.5,5,0.3,0.435917834159918,0.135917834159918,"BayesA"
1.5,6,0.3,0.415591388922875,0.115591388922875,"BayesA"
1.5,7,0.3,0.414063530463228,0.114063530463228,"BayesA"
1.5,8,0.3,0.430029968639824,0.130029968639824,"BayesA"
1.5,9,0.3,0.438410525121644,0.138410525121644,"BayesA"
1.5,10,0.3,0.40637736567998,0.10637736567998,"BayesA"
1.4,1,0.28,0.427625883183161,0.147625883183161,"BayesA"
1.4,2,0.28,0.422129794852333,0.142129794852333,"BayesA"
1.4,3,0.28,0.425387849409925,0.145387849409925,"BayesA"
1.4,4,0.28,0.403183511787314,0.123183511787314,"BayesA"
1.4,5,0.28,0.399468039928388,0.119468039928388,"BayesA"
1.4,6,0.28,0.413197645089038,0.133197645089038,"BayesA"
1.4,7,0.28,0.431312940610909,0.151312940610909,"BayesA"
1.4,8,0.28,0.44644249538132,0.16644249538132,"BayesA"
1.4,9,0.28,0.451846556873523,0.171846556873523,"BayesA"
1.4,10,0.28,0.426900951910752,0.146900951910752,"BayesA"
1.3,1,0.26,0.416283767180712,0.156283767180712,"BayesA"
1.3,2,0.26,0.397921636926119,0.137921636926119,"BayesA"
1.3,3,0.26,0.391777911331203,0.131777911331203,"BayesA"
1.3,4,0.26,0.395261802366399,0.135261802366399,"BayesA"
1.3,5,0.26,0.406159429899536,0.146159429899536,"BayesA"
1.3,6,0.26,0.406618591807079,0.146618591807079,"BayesA"
1.3,7,0.26,0.373085265051162,0.113085265051162,"BayesA"
1.3,8,0.26,0.363323003915456,0.103323003915456,"BayesA"
1.3,9,0.26,0.389241488971067,0.129241488971067,"BayesA"
1.3,10,0.26,0.416584534860746,0.156584534860746,"BayesA"
1.2,1,0.24,0.389736113322343,0.149736113322343,"BayesA"
1.2,2,0.24,0.371689313187303,0.131689313187303,"BayesA"
1.2,3,0.24,0.384645409506155,0.144645409506155,"BayesA"
1.2,4,0.24,0.388228476759047,0.148228476759047,"BayesA"
1.2,5,0.24,0.368501342660486,0.128501342660486,"BayesA"
1.2,6,0.24,0.37259565671733,0.13259565671733,"BayesA"
1.2,7,0.24,0.383745222856702,0.143745222856702,"BayesA"
1.2,8,0.24,0.350162084156959,0.110162084156959,"BayesA"
1.2,9,0.24,0.397819204790525,0.157819204790525,"BayesA"
1.2,10,0.24,0.357455143970518,0.117455143970518,"BayesA"
1.1,1,0.22,0.349869881406815,0.129869881406815,"BayesA"
1.1,2,0.22,0.358752240843995,0.138752240843995,"BayesA"
1.1,3,0.22,0.364198303574329,0.144198303574329,"BayesA"
1.1,4,0.22,0.372976975256429,0.152976975256429,"BayesA"
1.1,5,0.22,0.32417119433899,0.10417119433899,"BayesA"
1.1,6,0.22,0.371038773750745,0.151038773750745,"BayesA"
1.1,7,0.22,0.338306036476231,0.118306036476231,"BayesA"
1.1,8,0.22,0.3575216054828,0.1375216054828,"BayesA"
1.1,9,0.22,0.333371193653004,0.113371193653004,"BayesA"
1.1,10,0.22,0.35237372666989,0.13237372666989,"BayesA"
1,1,0.2,0.335208231470648,0.135208231470648,"BayesA"
1,2,0.2,0.308711072137529,0.108711072137529,"BayesA"
1,3,0.2,0.343223161022954,0.143223161022954,"BayesA"
1,4,0.2,0.332545484170708,0.132545484170708,"BayesA"
1,5,0.2,0.36958442107283,0.16958442107283,"BayesA"
1,6,0.2,0.337115759386482,0.137115759386482,"BayesA"
1,7,0.2,0.337604049098817,0.137604049098817,"BayesA"
1,8,0.2,0.328626452103335,0.128626452103335,"BayesA"
1,9,0.2,0.300564999440861,0.100564999440861,"BayesA"
1,10,0.2,0.327362605251829,0.127362605251829,"BayesA"
0.9,1,0.18,0.312414584710697,0.132414584710697,"BayesA"
0.9,2,0.18,0.331604040028166,0.151604040028166,"BayesA"
0.9,3,0.18,0.333764381901315,0.153764381901315,"BayesA"
0.9,4,0.18,0.297602456466634,0.117602456466634,"BayesA"
0.9,5,0.18,0.333418994441351,0.153418994441351,"BayesA"
0.9,6,0.18,0.305329231254832,0.125329231254832,"BayesA"
0.9,7,0.18,0.31817344745463,0.13817344745463,"BayesA"
0.9,8,0.18,0.314686645063296,0.134686645063296,"BayesA"
0.9,9,0.18,0.304204837127192,0.124204837127192,"BayesA"
0.9,10,0.18,0.303575558334796,0.123575558334796,"BayesA"
0.8,1,0.16,0.30842419066001,0.14842419066001,"BayesA"
0.8,2,0.16,0.292062960054066,0.132062960054066,"BayesA"
0.8,3,0.16,0.260614634422446,0.100614634422446,"BayesA"
0.8,4,0.16,0.2864752478043,0.1264752478043,"BayesA"
0.8,5,0.16,0.280241371331025,0.120241371331025,"BayesA"
0.8,6,0.16,0.295406344135878,0.135406344135878,"BayesA"
0.8,7,0.16,0.290559405664261,0.130559405664261,"BayesA"
0.8,8,0.16,0.295696214756585,0.135696214756585,"BayesA"
0.8,9,0.16,0.281294049867516,0.121294049867516,"BayesA"
0.8,10,0.16,0.295968175759903,0.135968175759903,"BayesA"
0.7,1,0.14,0.274486280086394,0.134486280086394,"BayesA"
0.7,2,0.14,0.305260556975786,0.165260556975786,"BayesA"
0.7,3,0.14,0.267444402845468,0.127444402845468,"BayesA"
0.7,4,0.14,0.236725617757019,0.0967256177570188,"BayesA"
0.7,5,0.14,0.272520068482375,0.132520068482375,"BayesA"
0.7,6,0.14,0.301057490077206,0.161057490077206,"BayesA"
0.7,7,0.14,0.256737690971592,0.116737690971592,"BayesA"
0.7,8,0.14,0.278755730806146,0.138755730806146,"BayesA"
0.7,9,0.14,0.303055544554704,0.163055544554704,"BayesA"
0.7,10,0.14,0.282281545293068,0.142281545293068,"BayesA"
0.6,1,0.12,0.253002668905892,0.133002668905892,"BayesA"
0.6,2,0.12,0.250587136144148,0.130587136144148,"BayesA"
0.6,3,0.12,0.26307409994289,0.14307409994289,"BayesA"
0.6,4,0.12,0.272332477631021,0.152332477631021,"BayesA"
0.6,5,0.12,0.247046005326041,0.127046005326041,"BayesA"
0.6,6,0.12,0.257633121995057,0.137633121995057,"BayesA"
0.6,7,0.12,0.270895290827759,0.150895290827759,"BayesA"
0.6,8,0.12,0.271502137042561,0.151502137042561,"BayesA"
0.6,9,0.12,0.239444774791856,0.119444774791856,"BayesA"
0.6,10,0.12,0.236555468170099,0.116555468170099,"BayesA"
0.5,1,0.1,0.22285446529451,0.12285446529451,"BayesA"
0.5,2,0.1,0.248202777238826,0.148202777238826,"BayesA"
0.5,3,0.1,0.237725009282571,0.137725009282571,"BayesA"
0.5,4,0.1,0.233943705014633,0.133943705014633,"BayesA"
0.5,5,0.1,0.238312710344091,0.138312710344091,"BayesA"
0.5,6,0.1,0.223708345879431,0.123708345879431,"BayesA"
0.5,7,0.1,0.216783256819019,0.116783256819019,"BayesA"
0.5,8,0.1,0.218643228909035,0.118643228909035,"BayesA"
0.5,9,0.1,0.225204130458878,0.125204130458878,"BayesA"
0.5,10,0.1,0.221298867260671,0.121298867260671,"BayesA"
0.4,1,0.08,0.225447620109905,0.145447620109905,"BayesA"
0.4,2,0.08,0.219475935790577,0.139475935790577,"BayesA"
0.4,3,0.08,0.207235697296045,0.127235697296045,"BayesA"
0.4,4,0.08,0.20479065893131,0.12479065893131,"BayesA"
0.4,5,0.08,0.193709770327545,0.113709770327545,"BayesA"
0.4,6,0.08,0.222104651712165,0.142104651712165,"BayesA"
0.4,7,0.08,0.190565771570519,0.110565771570519,"BayesA"
0.4,8,0.08,0.234132882282007,0.154132882282007,"BayesA"
0.4,9,0.08,0.224888746514738,0.144888746514738,"BayesA"
0.4,10,0.08,0.211783877512427,0.131783877512427,"BayesA"
0.3,1,0.06,0.196557848118733,0.136557848118733,"BayesA"
0.3,2,0.06,0.203231514316414,0.143231514316414,"BayesA"
0.3,3,0.06,0.206774410345219,0.146774410345219,"BayesA"
0.3,4,0.06,0.199172971472612,0.139172971472612,"BayesA"
0.3,5,0.06,0.212960361044224,0.152960361044224,"BayesA"
0.3,6,0.06,0.227182295275901,0.167182295275901,"BayesA"
0.3,7,0.06,0.188576778467122,0.128576778467122,"BayesA"
0.3,8,0.06,0.215945509108713,0.155945509108713,"BayesA"
0.3,9,0.06,0.217885628941704,0.157885628941704,"BayesA"
0.3,10,0.06,0.185450506913552,0.125450506913552,"BayesA"
0.2,1,0.04,0.191254786625497,0.151254786625497,"BayesA"
0.2,2,0.04,0.186644770823225,0.146644770823225,"BayesA"
0.2,3,0.04,0.1845041134783,0.1445041134783,"BayesA"
0.2,4,0.04,0.190674796649475,0.150674796649475,"BayesA"
0.2,5,0.04,0.190251759370087,0.150251759370087,"BayesA"
0.2,6,0.04,0.189201888869695,0.149201888869695,"BayesA"
0.2,7,0.04,0.197984626281819,0.157984626281819,"BayesA"
0.2,8,0.04,0.196300656128714,0.156300656128714,"BayesA"
0.2,9,0.04,0.187820819066797,0.147820819066797,"BayesA"
0.2,10,0.04,0.189773214400462,0.149773214400462,"BayesA"
0.1,1,0.02,0.177159142500979,0.157159142500979,"BayesA"
0.1,2,0.02,0.174868589027328,0.154868589027328,"BayesA"
0.1,3,0.02,0.198521945044893,0.178521945044893,"BayesA"
0.1,4,0.02,0.185421701292029,0.165421701292029,"BayesA"
0.1,5,0.02,0.177465197477451,0.157465197477451,"BayesA"
0.1,6,0.02,0.182411651448393,0.162411651448393,"BayesA"
0.1,7,0.02,0.184664571597215,0.164664571597215,"BayesA"
0.1,8,0.02,0.183112333115216,0.163112333115216,"BayesA"
0.1,9,0.02,0.187655716414221,0.167655716414221,"BayesA"
0.1,10,0.02,0.179505393110878,0.159505393110878,"BayesA"
0.05,1,0.01,0.178570051144987,0.168570051144987,"BayesA"
0.05,2,0.01,0.180173774910859,0.170173774910859,"BayesA"
0.05,3,0.01,0.173741892751149,0.163741892751149,"BayesA"
0.05,4,0.01,0.180492962735186,0.170492962735186,"BayesA"
0.05,5,0.01,0.178346289213779,0.168346289213779,"BayesA"
0.05,6,0.01,0.174961753479573,0.164961753479573,"BayesA"
0.05,7,0.01,0.177148439186703,0.167148439186703,"BayesA"
0.05,8,0.01,0.188019718814506,0.178019718814506,"BayesA"
0.05,9,0.01,0.176210853887073,0.166210853887073,"BayesA"
0.05,10,0.01,0.182294591497714,0.172294591497714,"BayesA"
0.005,1,0.001,0.177568640537995,0.176568640537995,"BayesA"
0.005,2,0.001,0.174560072664277,0.173560072664277,"BayesA"
0.005,3,0.001,0.177345955832175,0.176345955832175,"BayesA"
0.005,4,0.001,0.172266199616849,0.171266199616849,"BayesA"
0.005,5,0.001,0.173343717497598,0.172343717497598,"BayesA"
0.005,6,0.001,0.176513312096517,0.175513312096517,"BayesA"
0.005,7,0.001,0.176555317105773,0.175555317105773,"BayesA"
0.005,8,0.001,0.171583814212922,0.170583814212922,"BayesA"
0.005,9,0.001,0.17800024845214,0.17700024845214,"BayesA"
0.005,10,0.001,0.177808043431736,0.176808043431736,"BayesA"
4,1,0.8,0.865267082963471,0.0652670829634713,"BayesB"
4,2,0.8,0.860752676595945,0.0607526765959446,"BayesB"
4,3,0.8,0.853619703299709,0.053619703299709,"BayesB"
4,4,0.8,0.854502526250246,0.0545025262502461,"BayesB"
4,5,0.8,0.853012401705588,0.0530124017055884,"BayesB"
4,6,0.8,0.858086743797038,0.0580867437970375,"BayesB"
4,7,0.8,0.855624820495056,0.0556248204950555,"BayesB"
4,8,0.8,0.859033798741312,0.059033798741312,"BayesB"
4,9,0.8,0.861967714549074,0.0619677145490738,"BayesB"
4,10,0.8,0.856577960823681,0.0565779608236809,"BayesB"
3.75,1,0.75,0.817808491874791,0.0678084918747907,"BayesB"
3.75,2,0.75,0.815435395082282,0.0654353950822817,"BayesB"
3.75,3,0.75,0.828823841854305,0.0788238418543052,"BayesB"
3.75,4,0.75,0.819020374128007,0.0690203741280069,"BayesB"
3.75,5,0.75,0.818481729620572,0.0684817296205715,"BayesB"
3.75,6,0.75,0.799726693989393,0.0497266939893931,"BayesB"
3.75,7,0.75,0.813151179646166,0.0631511796461662,"BayesB"
3.75,8,0.75,0.812608306641584,0.062608306641584,"BayesB"
3.75,9,0.75,0.809240067639073,0.0592400676390732,"BayesB"
3.75,10,0.75,0.817183552661252,0.067183552661252,"BayesB"
3.5,1,0.7,0.778435220140894,0.0784352201408935,"BayesB"
3.5,2,0.7,0.779692791267034,0.0796927912670342,"BayesB"
3.5,3,0.7,0.789511068005807,0.0895110680058065,"BayesB"
3.5,4,0.7,0.765937606556457,0.0659376065564568,"BayesB"
3.5,5,0.7,0.748006595126066,0.048006595126066,"BayesB"
3.5,6,0.7,0.772117399629873,0.0721173996298728,"BayesB"
3.5,7,0.7,0.766258058433667,0.0662580584336672,"BayesB"
3.5,8,0.7,0.781371208865828,0.0813712088658284,"BayesB"
3.5,9,0.7,0.77343080221157,0.0734308022115705,"BayesB"
3.5,10,0.7,0.771456732658129,0.0714567326581294,"BayesB"
3.25,1,0.65,0.721076378265087,0.0710763782650869,"BayesB"
3.25,2,0.65,0.729649735378039,0.0796497353780393,"BayesB"
3.25,3,0.65,0.721481111526881,0.0714811115268814,"BayesB"
3.25,4,0.65,0.740735524033082,0.0907355240330822,"BayesB"
3.25,5,0.65,0.724515630527315,0.0745156305273152,"BayesB"
3.25,6,0.65,0.7111558586928,0.0611558586927999,"BayesB"
3.25,7,0.65,0.728226287535526,0.0782262875355259,"BayesB"
3.25,8,0.65,0.69668604971319,0.0466860497131896,"BayesB"
3.25,9,0.65,0.719492769944522,0.0694927699445217,"BayesB"
3.25,10,0.65,0.726420408957552,0.0764204089575515,"BayesB"
3,1,0.6,0.691866967798448,0.0918669677984485,"BayesB"
3,2,0.6,0.669192288852632,0.0691922888526322,"BayesB"
3,3,0.6,0.672949140154765,0.0729491401547653,"BayesB"
3,4,0.6,0.683235299340377,0.0832352993403768,"BayesB"
3,5,0.6,0.666784046689296,0.0667840466892961,"BayesB"
3,6,0.6,0.687292868802729,0.0872928688027286,"BayesB"
3,7,0.6,0.660385821835353,0.0603858218353526,"BayesB"
3,8,0.6,0.694779125069616,0.0947791250696165,"BayesB"
3,9,0.6,0.669387951553629,0.0693879515536288,"BayesB"
3,10,0.6,0.687869526003387,0.0878695260033869,"BayesB"
2.75,1,0.55,0.627669907015164,0.0776699070151636,"BayesB"
2.75,2,0.55,0.623610804201945,0.0736108042019454,"BayesB"
2.75,3,0.55,0.639923035046503,0.0899230350465035,"BayesB"
2.75,4,0.55,0.649067300879462,0.0990673008794624,"BayesB"
2.75,5,0.55,0.62297986996332,0.0729798699633202,"BayesB"
2.75,6,0.55,0.645781535858601,0.0957815358586005,"BayesB"
2.75,7,0.55,0.614335465981021,0.0643354659810209,"BayesB"
2.75,8,0.55,0.627216768515833,0.0772167685158325,"BayesB"
2.75,9,0.55,0.646737831049771,0.0967378310497711,"BayesB"
2.75,10,0.55,0.629024751756117,0.0790247517561173,"BayesB"
2.5,1,0.5,0.579336254972824,0.0793362549728236,"BayesB"
2.5,2,0.5,0.586349249460712,0.0863492494607117,"BayesB"
2.5,3,0.5,0.564706510604738,0.0647065106047383,"BayesB"
2.5,4,0.5,0.580551564767801,0.0805515647678008,"BayesB"
2.5,5,0.5,0.584175984497524,0.0841759844975243,"BayesB"
2.5,6,0.5,0.61257491093127,0.11257491093127,"BayesB"
2.5,7,0.5,0.597932918737751,0.0979329187377513,"BayesB"
2.5,8,0.5,0.56789477851311,0.06789477851311,"BayesB"
2.5,9,0.5,0.592252959883398,0.0922529598833981,"BayesB"
2.5,10,0.5,0.599121550393737,0.0991215503937374,"BayesB"
2.25,1,0.45,0.526218424896214,0.0762184248962139,"BayesB"
2.25,2,0.45,0.524890950712763,0.074890950712763,"BayesB"
2.25,3,0.45,0.53095610537466,0.0809561053746602,"BayesB"
2.25,4,0.45,0.517281705297236,0.0672817052972359,"BayesB"
2.25,5,0.45,0.557513562329102,0.107513562329102,"BayesB"
2.25,6,0.45,0.546553275244178,0.0965532752441775,"BayesB"
2.25,7,0.45,0.531497832625111,0.081497832625111,"BayesB"
2.25,8,0.45,0.518783584128713,0.0687835841287128,"BayesB"
2.25,9,0.45,0.537891705322138,0.0878917053221376,"BayesB"
2.25,10,0.45,0.517337693401065,0.0673376934010649,"BayesB"
2,1,0.4,0.489217042557145,0.0892170425571452,"BayesB"
2,2,0.4,0.481694176027626,0.0816941760276257,"BayesB"
2,3,0.4,0.479989464884092,0.079989464884092,"BayesB"
2,4,0.4,0.504219427325337,0.104219427325337,"BayesB"
2,5,0.4,0.517454388195558,0.117454388195558,"BayesB"
2,6,0.4,0.498068424675856,0.0980684246758559,"BayesB"
2,7,0.4,0.472756174081057,0.0727561740810567,"BayesB"
2,8,0.4,0.486930647996623,0.0869306479966227,"BayesB"
2,9,0.4,0.47309232184282,0.0730923218428199,"BayesB"
2,10,0.4,0.471031504308547,0.0710315043085471,"BayesB"
1.9,1,0.38,0.470143736603759,0.0901437366037595,"BayesB"
1.9,2,0.38,0.466760496111473,0.0867604961114732,"BayesB"
1.9,3,0.38,0.444634751614775,0.0646347516147753,"BayesB"
1.9,4,0.38,0.453065623892203,0.0730656238922034,"BayesB"
1.9,5,0.38,0.478244313779594,0.0982443137795942,"BayesB"
1.9,6,0.38,0.471600335455083,0.0916003354550833,"BayesB"
1.9,7,0.38,0.483839440523379,0.103839440523379,"BayesB"
1.9,8,0.38,0.471456287603234,0.0914562876032337,"BayesB"
1.9,9,0.38,0.458230038499307,0.0782300384993074,"BayesB"
1.9,10,0.38,0.480541265138789,0.100541265138789,"BayesB"
1.8,1,0.36,0.406348081983747,0.0463480819837465,"BayesB"
1.8,2,0.36,0.448334100726908,0.0883341007269084,"BayesB"
1.8,3,0.36,0.431358393927804,0.0713583939278041,"BayesB"
1.8,4,0.36,0.439421935367875,0.0794219353678753,"BayesB"
1.8,5,0.36,0.44813758912743,0.08813758912743,"BayesB"
1.8,6,0.36,0.429073726183061,0.0690737261830607,"BayesB"
1.8,7,0.36,0.438210151315722,0.0782101513157223,"BayesB"
1.8,8,0.36,0.441803279798331,0.0818032797983311,"BayesB"
1.8,9,0.36,0.440527620033794,0.0805276200337941,"BayesB"
1.8,10,0.36,0.45155576244303,0.0915557624430297,"BayesB"
1.7,1,0.34,0.424263870827319,0.0842638708273186,"BayesB"
1.7,2,0.34,0.418691988350758,0.0786919883507585,"BayesB"
1.7,3,0.34,0.440024188723225,0.100024188723225,"BayesB"
1.7,4,0.34,0.396165141018259,0.0561651410182592,"BayesB"
1.7,5,0.34,0.455315080374181,0.115315080374181,"BayesB"
1.7,6,0.34,0.405382396251301,0.0653823962513007,"BayesB"
1.7,7,0.34,0.43065053332354,0.0906505333235404,"BayesB"
1.7,8,0.34,0.453477122493665,0.113477122493665,"BayesB"
1.7,9,0.34,0.430839226038819,0.0908392260388189,"BayesB"
1.7,10,0.34,0.42174323618584,0.0817432361858396,"BayesB"
1.6,1,0.32,0.381434179049281,0.0614341790492814,"BayesB"
1.6,2,0.32,0.413989321781501,0.0939893217815006,"BayesB"
