"","(Intercept)","as.Date(sire_birth_date)","kept_markers_adjusted","sire_age_at_collection","I(sire_age_at_collection^2)","sire_breeding_window","sire_jersey_propn","as.Date(sire_birth_date):kept_markers_adjusted","as.Date(sire_birth_date):sire_age_at_collection","as.Date(sire_birth_date):sire_breeding_window","as.Date(sire_birth_date):sire_jersey_propn","kept_markers_adjusted:sire_age_at_collection","kept_markers_adjusted:sire_breeding_window","kept_markers_adjusted:sire_jersey_propn","sire_age_at_collection:sire_breeding_window","sire_age_at_collection:sire_jersey_propn","sire_breeding_window:sire_jersey_propn","df","logLik","AICc","delta","weight"
"55359",1.0544797788222,NA,-3.22208506853592e-05,1.70103498429148e-05,-2.3224823717783e-09,-1.07991281045554e-05,-0.0863615558373827,NA,NA,NA,NA,NA,5.92993310905053e-08,7.84742606445437e-05,NA,1.04175341875388e-05,-9.1190080467669e-06,14,26486.151471514,-52944.2984547457,142.703104865403,1.01501891254216e-31
"3136",0.972473122682104,5.39802988233941e-06,-1.56771888690819e-07,2.59321004944473e-05,-3.00378394882365e-09,-1.30681644553132e-05,-0.0622878330843786,NA,NA,NA,NA,-6.76044451977857e-09,6.00126157669127e-08,NA,NA,NA,NA,13,26485.1282152744,-52944.2525407456,142.749018865441,9.91982557861633e-32
"33976",0.96568093384088,6.28704140008339e-06,-4.34146735597475e-06,1.44682594505976e-05,NA,4.35077941059156e-06,-0.0617135191909501,NA,-1.04739653747537e-09,NA,NA,5.32234858311421e-08,NA,NA,NA,NA,-2.36886290771203e-06,13,26485.0705491901,-52944.1372085771,142.86435103399,9.36396914041181e-32
"27703",1.0542140822082,NA,-4.99958470102249e-06,4.5617597717806e-06,NA,-1.2800605992614e-05,-0.0702201383422929,NA,NA,NA,NA,8.92021089162048e-09,5.18345622083472e-08,NA,1.59982612380384e-09,1.06103055181188e-05,NA,13,26485.0595220281,-52944.115154253,142.886405358062,9.26127836986636e-32
"25398",0.979881004464577,5.24163207651329e-06,NA,1.3766556188905e-05,NA,8.19568810933307e-05,-0.233034145665172,NA,NA,-6.0066694101295e-09,1.18608057042791e-05,NA,NA,NA,-1.43436524172574e-09,1.44351198236113e-05,NA,13,26485.0111113732,-52944.0183329432,142.98322666782,8.82361312197087e-32
"63543",1.06036942613429,NA,-3.19464533226401e-05,6.82584870333303e-06,NA,-1.11521777837628e-05,-0.0872745954448692,NA,NA,NA,NA,NA,5.90349721535204e-08,7.84407968812043e-05,1.55945281050274e-09,1.12626443775443e-05,-9.20894536900864e-06,14,26485.903295465,-52943.8021026476,143.199456963484,7.91940668349265e-32
"36408",1.04695579546053,2.34037441770455e-07,8.13749516010415e-07,1.6908100449759e-05,NA,-1.5005294584374e-05,-0.199528808301891,NA,NA,NA,9.98657023636096e-06,-6.57215391246307e-09,5.95630942932637e-08,NA,NA,NA,7.28054489933499e-06,14,26485.9001997674,-52943.7959112524,143.205648358708,7.89492850320819e-32
"41080",0.860126250347099,1.26987368015948e-05,0.000445240209240728,1.85820608248378e-05,NA,4.97629451959174e-06,-0.0606722251475832,-2.86451788226679e-08,NA,NA,NA,NA,NA,NA,-1.36068286194885e-09,NA,-2.41125230896433e-06,13,26484.8443301025,-52943.6847704018,143.316789209224,7.46817132363815e-32
"24888",0.893779212207006,1.06391864249373e-05,4.04548688504549e-05,1.59067212217931e-05,NA,8.53536072035315e-05,-0.0690147982931711,NA,NA,-6.27927839555988e-09,NA,NA,NA,NA,-1.82668845719222e-09,9.30181893015438e-06,NA,13,26484.8381021471,-52943.6723144909,143.32924512012,7.42180442073261e-32
"380",0.818786466344792,1.63450945668068e-05,0.000451531419073358,NA,4.37405313767148e-09,8.39507358344822e-05,-0.0623756597599141,-2.89505413976748e-08,NA,-6.1088536116997e-09,NA,NA,NA,NA,NA,NA,NA,12,26483.8120211495,-52943.6207082177,143.380851393355,7.23274819846439e-32
